bv,30.76,15.49,1.95,0.0,0.0,0.0,2.63,0.0,73.94,2.79,0.0,16.63,17.83,26.78,22.0,13.59,4.36,2.65,13.13,5.21,33.28,21.75,14.51,92.47,29.08,23.38,130.4,242.53,18.56,10.74,7.29,36.22,3.93,18.06,0.3,28.61,0.0,122.97,21.94,83.55,43.38,236.97,130.78,131.76,0.03,0.38,18.61,8.84,47.72,78.58,3.79,0.65,0.38,1.35,56.67,6.6,3.12,0.02,6.87,24.5,10.66,11.42,38.11,2.71,8.73,14.81,2.58,3.8,31.68,3.91,31.11,15.44,53.68,0.73,9.19,54.25,1.24,1.24,1.65,1.96,4.09,9.15,0.0,3.45,15.16,0.0,0.0,0.0
bz,43.42,5.91,0.15,0.0,0.0,0.0,3.88,0.4,103.86,3.42,0.0,21.56,55.59,5.74,14.53,2.23,3.42,0.63,14.72,0.0,43.48,21.27,6.93,53.53,0.21,8.87,9.04,3.3,8.91,8.54,3.24,1.82,2.9,13.92,0.15,33.4,0.0,69.31,29.25,43.53,24.95,65.07,154.59,56.68,0.19,0.0,1.57,6.47,8.83,28.29,0.38,0.29,1.59,1.59,2.65,1.25,2.94,0.02,2.9,5.74,4.22,6.37,10.17,0.73,2.86,3.84,3.8,1.38,2.44,1.25,23.69,4.49,13.4,0.02,4.32,42.57,0.04,0.17,0.81,0.75,0.69,3.17,0.0,2.21,5.74,0.0,0.0,0.0
cj,24.56,2.91,0.84,0.0,0.0,0.04,9.16,1.02,71.56,2.51,0.0,5.91,27.38,16.14,12.93,16.06,16.0,0.0,12.87,14.24,29.94,36.14,6.42,73.31,43.05,67.55,27.34,28.57,4.98,49.79,10.64,9.01,94.04,30.98,0.26,25.04,0.03,140.88,78.73,126.18,78.87,170.8,166.1,205.46,0.01,0.04,14.87,11.05,23.74,84.87,30.55,1.59,5.68,3.86,337.63,5.62,123.39,1.95,10.66,32.72,13.55,30.84,62.98,7.36,20.49,13.26,4.35,5.79,15.07,4.58,23.97,32.6,83.04,0.35,9.56,43.98,0.54,0.42,2.66,3.86,9.02,9.11,0.01,4.21,18.58,0.0,0.0,0.0
cl,118.74,4.41,2.99,0.0,0.0,0.0,0.63,0.72,54.13,0.79,0.0,1.61,39.58,0.31,7.53,9.04,1.1,0.0,2.99,0.0,3.68,22.36,10.39,18.45,0.19,0.06,14.99,3.15,1.1,5.01,0.44,0.88,0.38,17.48,0.09,12.09,0.0,48.74,11.02,34.86,14.14,51.23,104.6,45.88,1.57,0.0,11.15,3.24,3.27,20.25,0.31,0.5,0.19,0.82,1.98,0.13,2.83,0.03,0.76,1.92,2.99,3.15,8.19,8.12,2.71,2.3,1.73,0.69,2.77,0.57,7.75,5.1,3.4,0.03,3.27,10.26,0.16,0.0,0.54,0.03,1.79,2.77,0.19,0.44,5.1,0.0,0.0,0.0
cs,14.38,22.57,0.46,0.18,0.0,0.21,1.61,0.0,39.08,1.19,0.03,0.91,12.03,0.0,30.61,0.21,0.91,0.03,0.06,0.0,6.52,5.09,2.71,18.95,4.57,10.42,5.33,236.1,1.46,5.3,3.47,2.56,1.83,14.35,0.15,8.25,0.0,30.55,17.64,23.24,20.07,44.53,93.48,50.35,0.03,0.03,3.53,3.78,15.57,33.99,1.01,0.64,0.0,1.58,1.04,0.61,0.61,0.0,3.23,5.51,2.5,2.56,9.35,0.09,0.79,2.74,2.59,0.58,2.47,1.07,14.56,4.97,7.89,0.0,3.5,11.36,0.0,5.45,0.67,0.4,1.1,2.8,0.03,1.98,7.4,0.03,0.0,0.0
ct,53.71,0.34,2.73,0.0,0.0,0.0,6.35,10.26,52.19,1.17,0.0,5.96,6.48,0.95,3.13,0.88,2.78,14.48,4.23,1.38,10.33,14.9,2.86,31.08,0.18,0.52,2.58,0.44,40.79,9.59,3.82,23.1,27.33,31.03,0.39,43.49,2.43,121.1,47.19,73.84,35.7,107.11,136.99,86.03,5.75,1.77,126.48,5.04,60.61,92.1,1.25,1.18,0.88,2.31,6.15,2.29,5.7,0.0,6.88,18.42,8.82,8.74,32.91,1.57,7.4,7.75,2.6,3.25,26.17,3.67,54.44,18.02,10.93,1.66,9.43,40.33,1.74,0.88,1.6,0.49,10.11,8.8,0.08,6.0,23.6,0.0,0.01,0.0
cv,26.26,35.87,0.96,0.04,0.0,0.0,8.83,0.04,101.24,3.93,0.0,9.26,124.23,2.27,71.66,19.88,4.11,0.0,0.31,0.0,17.83,9.7,0.0,38.28,0.74,5.99,5.16,7.82,0.13,14.94,17.7,1.79,0.0,13.02,0.04,20.76,0.0,58.29,14.29,33.43,32.38,99.19,108.63,85.99,0.0,0.0,4.41,4.98,30.72,28.97,3.58,0.87,0.79,3.06,8.3,0.79,3.8,0.04,1.7,5.94,6.38,4.72,12.54,0.92,1.57,5.11,3.5,0.79,0.83,1.18,4.24,5.46,10.14,0.0,5.99,8.83,0.0,0.26,1.62,0.17,3.67,5.51,0.0,2.18,4.33,0.0,0.0,0.0
db,25.34,6.17,1.15,0.04,0.0,0.0,6.24,0.89,37.5,0.28,0.0,29.18,35.84,1.12,12.86,6.83,3.48,0.04,6.34,0.0,14.3,9.12,44.21,31.96,0.26,95.73,8.26,0.17,5.79,10.63,1.63,5.41,0.19,13.62,0.25,6.41,1.63,73.81,9.25,38.01,22.86,41.15,91.08,65.55,0.0,0.0,7.66,4.63,9.72,29.94,2.02,0.81,0.3,0.89,4.35,1.29,1.25,0.02,1.89,6.54,2.61,9.42,15.09,0.23,2.69,3.1,2.59,1.36,15.83,0.87,17.89,15.7,9.91,6.69,4.82,15.39,0.85,0.3,0.57,0.47,0.06,4.14,0.0,1.97,10.8,0.0,0.0,0.0
dj,55.89,3.88,0.53,0.0,0.0,0.0,3.2,4.17,39.74,0.77,0.0,4.38,37.74,11.12,3.84,3.07,3.81,0.0,1.73,0.06,33.57,14.21,0.23,20.48,1.57,17.28,6.72,93.37,13.18,11.61,3.67,6.62,24.81,16.59,0.41,6.16,0.01,74.18,20.92,44.69,35.3,108.06,138.88,80.95,0.16,0.0,6.66,8.29,10.84,37.73,5.22,1.63,0.36,6.01,19.08,1.91,4.08,0.0,5.72,12.06,4.35,7.51,17.46,3.4,3.45,5.34,2.75,2.55,9.87,1.64,66.58,20.85,40.17,1.47,6.49,47.79,1.47,1.04,0.81,0.4,3.48,5.46,0.0,2.53,16.22,0.0,0.0,0.0
gj,6.85,13.97,1.01,0.98,0.0,0.0,8.49,0.03,36.11,0.19,0.0,3.6,18.12,0.0,8.38,0.63,2.87,0.22,0.57,0.0,29.17,11.16,0.03,34.28,0.41,3.82,3.44,0.0,0.98,5.65,1.69,9.8,312.97,19.19,0.19,26.8,0.0,59.74,18.12,28.71,23.14,53.54,127.66,83.84,0.0,0.0,3.27,2.16,8.35,34.52,1.26,0.33,1.17,0.74,7.4,0.82,5.05,0.0,4.88,4.97,4.61,1.61,34.0,0.38,2.32,3.14,3.96,1.8,0.19,1.15,63.64,3.77,14.33,26.61,6.6,22.76,0.19,0.3,1.26,0.3,3.36,3.14,0.0,2.07,13.7,0.0,0.0,0.0
gl,31.55,0.96,0.19,0.0,0.0,0.0,2.39,0.33,50.83,2.18,0.0,2.78,6.8,0.44,1.82,0.59,1.88,0.0,0.28,1.06,12.12,4.9,86.91,36.44,4.9,1.44,4.76,3.29,36.19,16.92,1.64,10.94,3.95,16.05,0.3,12.35,0.0,71.44,50.88,58.46,29.2,143.03,129.22,56.92,12.37,0.0,28.42,5.54,5.99,37.03,1.88,0.35,0.16,1.0,15.26,6.31,2.77,0.0,4.16,9.73,3.35,4.54,30.23,0.02,2.45,3.5,2.15,2.33,11.17,2.67,38.67,10.33,11.81,0.41,5.05,15.15,0.19,0.06,0.66,0.28,3.67,4.68,0.0,1.87,11.75,0.0,0.0,0.0
gr,57.56,0.87,1.05,0.0,0.0,0.0,8.81,0.0,34.81,0.04,0.0,3.57,5.74,0.04,2.67,6.5,0.65,3.11,1.16,0.87,3.54,17.41,6.07,23.15,5.24,0.97,1.01,0.0,9.82,6.93,3.9,1.81,11.19,13.04,0.18,6.21,0.0,138.34,23.29,32.61,25.71,45.25,104.54,76.95,0.58,0.0,46.65,4.62,4.95,22.5,0.61,0.29,0.11,0.65,3.29,0.9,0.9,0.0,2.71,5.56,3.32,3.57,6.32,0.04,1.37,2.71,2.67,2.78,10.22,1.01,23.51,13.0,9.79,6.28,5.56,9.28,0.36,0.51,0.32,0.32,0.61,2.82,0.04,1.12,6.82,1.12,0.0,0.0
hd,16.48,22.76,0.34,0.7,0.0,2.93,3.64,0.74,55.31,2.25,0.0,12.42,20.5,17.86,10.55,3.45,2.25,0.0,1.0,0.0,21.82,23.03,12.42,121.18,8.72,38.26,3.49,11.4,24.12,25.5,18.61,2.91,2.38,27.6,0.17,20.16,0.6,69.73,14.1,36.85,29.92,73.39,139.64,63.59,0.02,0.26,6.51,4.59,12.84,41.41,1.45,0.81,0.6,0.79,5.34,0.6,3.85,0.0,4.49,5.4,3.64,8.59,20.29,3.02,2.7,3.83,2.32,3.62,0.53,2.79,34.56,9.0,10.48,0.0,6.76,16.57,0.09,2.04,0.66,0.43,4.42,4.0,0.0,4.53,10.68,0.0,0.0,0.0
hr,10.52,37.84,0.66,0.0,0.0,0.0,10.01,0.0,94.97,89.13,0.09,17.83,46.02,9.92,88.26,6.47,18.36,0.03,1.95,0.0,22.26,12.25,8.48,30.95,1.35,1.05,7.28,6.77,0.03,78.88,7.64,1.26,3.54,10.91,4.31,10.97,0.03,115.31,22.44,48.05,40.92,132.87,166.18,60.67,0.0,0.0,9.35,4.34,28.19,47.25,6.98,0.81,0.81,0.75,9.71,1.41,1.11,0.0,2.85,6.53,5.75,6.41,16.42,0.6,3.48,4.61,2.91,1.65,2.76,1.17,16.36,8.9,16.06,0.0,8.03,11.68,0.03,0.0,1.11,0.12,1.14,5.6,0.0,2.13,6.98,0.0,0.0,0.0
if,53.64,0.92,2.05,0.0,0.03,0.03,3.2,27.27,197.74,71.22,25.73,13.89,30.19,22.13,6.7,24.71,29.06,0.0,19.52,38.81,169.34,55.31,9.52,51.83,23.07,5.76,85.16,15.02,0.36,40.67,34.35,8.72,3.07,20.98,1.48,70.35,0.64,285.92,74.62,186.15,194.44,651.23,804.44,194.11,0.18,49.32,140.36,89.69,11.74,107.18,5.81,8.24,0.2,6.88,75.0,9.13,14.27,14.12,16.65,53.92,18.21,47.89,50.62,78.56,35.2,15.12,10.13,22.05,28.65,3.97,218.05,53.62,33.87,23.61,22.89,55.43,10.39,5.04,4.04,10.39,23.76,10.67,0.0,16.17,38.04,0.0,0.0,0.0
il,121.9,4.9,1.19,0.0,0.0,0.0,0.44,0.0,57.15,2.99,0.0,1.87,38.21,3.03,4.22,0.65,1.05,0.0,5.31,0.0,13.85,4.01,0.0,11.53,8.1,2.65,0.61,0.0,0.03,11.7,0.54,0.82,0.17,7.45,0.31,13.23,0.0,52.09,31.03,19.39,22.79,69.91,120.26,46.95,0.0,0.0,2.28,4.56,4.66,22.25,0.44,0.31,0.17,1.43,2.18,0.71,1.09,0.0,1.43,2.82,4.25,3.23,8.47,0.0,1.56,3.4,2.62,0.44,1.16,0.75,26.98,5.78,10.04,1.39,3.71,17.08,0.0,0.44,0.68,0.03,0.17,1.97,0.0,1.33,8.64,0.0,0.0,0.0
is,37.21,1.9,2.38,0.0,0.01,0.0,1.22,0.0,46.61,0.72,0.0,11.96,25.37,3.79,4.72,4.68,6.57,0.0,6.29,18.8,5.54,14.1,8.95,14.96,3.87,3.19,14.23,26.23,5.06,8.09,13.02,4.28,3.31,14.73,0.29,14.16,0.13,114.11,18.31,49.01,37.0,71.16,103.08,74.6,0.02,0.1,4.1,7.39,8.78,49.89,4.66,1.24,0.26,3.22,104.48,6.53,5.22,0.03,2.96,17.84,6.49,18.17,32.0,2.25,7.37,5.91,3.65,1.98,7.15,2.94,20.01,18.08,36.02,0.0,8.74,35.48,0.4,0.2,0.71,0.45,3.66,4.16,0.0,2.79,17.86,0.0,0.01,0.0
mh,13.94,7.7,0.24,0.14,0.0,0.0,1.22,0.0,27.25,0.52,0.0,1.01,6.83,0.35,11.08,11.81,0.35,0.0,0.0,0.0,2.89,2.47,2.02,10.42,0.0,1.74,0.17,0.0,29.96,1.6,15.64,2.4,2.82,14.11,0.07,12.09,0.0,42.47,36.9,17.7,16.62,24.49,67.94,60.66,2.02,0.0,4.6,1.71,5.19,26.1,0.49,0.42,0.24,0.63,0.91,0.24,1.85,0.0,1.85,2.89,2.06,2.3,9.51,0.03,0.52,3.52,2.2,2.16,9.09,0.63,26.55,5.82,6.93,0.0,4.36,10.98,0.1,0.1,0.24,0.03,3.07,3.97,0.0,1.32,7.18,0.0,0.0,0.0
mm,9.01,16.55,0.55,0.0,0.11,7.72,7.37,0.0,58.25,1.24,0.0,25.03,30.27,18.17,53.27,5.3,10.05,0.06,5.21,3.1,25.41,13.53,0.53,42.44,4.58,87.5,11.65,5.26,33.16,229.06,4.96,5.82,0.44,11.99,0.11,10.49,0.0,112.92,28.07,61.1,45.5,83.79,109.18,103.35,0.04,0.0,7.98,6.14,16.78,38.16,2.95,0.51,0.32,0.34,12.69,1.82,14.42,0.0,11.48,6.02,4.52,5.63,16.8,0.02,2.72,4.31,1.98,2.91,4.03,1.82,16.15,7.26,11.74,0.29,4.26,17.9,0.59,0.0,1.03,0.32,3.21,5.13,0.0,2.55,8.59,0.0,0.0,0.0
ms,33.62,11.52,1.17,0.0,0.0,0.0,3.02,1.84,68.72,0.42,0.0,49.6,34.71,4.59,39.29,3.34,4.8,0.0,26.18,20.19,15.24,18.93,4.51,45.09,1.56,28.37,23.74,28.41,0.77,60.2,20.06,4.41,93.28,12.83,0.17,17.81,0.02,63.55,37.49,65.63,49.67,115.55,136.41,75.86,0.0,0.0,4.95,7.9,26.98,49.45,2.72,0.69,0.77,2.57,28.02,2.93,4.51,0.03,4.01,12.29,6.07,9.31,17.47,0.87,5.38,4.24,3.81,1.41,2.36,1.95,51.3,11.44,9.54,0.0,5.47,38.87,0.29,0.08,1.12,0.92,4.68,4.7,0.0,3.62,8.07,0.0,0.0,0.0
nt,20.29,18.62,1.59,0.0,1.0,0.05,3.2,0.16,36.94,2.15,0.0,25.09,35.19,1.42,40.92,2.6,2.72,0.02,16.78,0.48,23.53,15.66,9.72,11.73,0.03,1.26,7.54,28.37,0.17,21.44,1.02,2.66,1.7,9.12,0.0,8.18,0.0,49.43,23.84,30.29,24.64,57.2,98.23,47.51,0.02,0.0,5.54,4.07,9.72,29.93,1.19,0.1,0.36,0.99,4.12,0.97,5.45,0.1,4.33,7.21,3.39,3.63,10.93,0.03,1.02,2.06,1.97,6.92,3.22,1.68,8.15,4.36,7.51,0.0,4.34,16.47,0.81,0.48,0.81,0.21,5.12,1.78,0.02,1.71,5.66,0.0,0.0,0.0
ot,53.98,2.07,0.16,0.0,0.0,0.0,5.02,0.0,34.46,2.13,0.0,7.66,52.89,0.11,4.89,1.11,0.8,0.38,4.37,0.0,95.42,4.53,109.67,37.26,0.0,28.02,1.18,13.03,0.91,4.62,0.87,1.73,0.18,12.28,0.13,15.32,0.0,88.6,15.26,25.47,15.1,43.68,107.34,41.26,0.09,0.0,1.73,2.58,2.64,22.52,0.75,0.13,0.16,0.6,4.31,1.47,4.46,0.0,4.06,2.38,2.66,2.09,12.06,0.11,2.0,2.44,4.06,2.09,0.89,0.93,16.72,5.53,11.06,0.58,4.53,15.46,0.11,0.09,0.11,0.27,2.8,2.98,0.0,0.84,7.44,0.0,0.0,0.0
ph,35.78,5.78,0.73,0.1,2.26,0.0,3.89,19.97,78.32,24.08,11.24,5.67,43.81,0.94,11.93,8.12,5.04,6.03,17.12,6.49,19.8,37.03,2.15,67.66,6.84,19.27,66.28,111.65,1.66,27.01,7.8,10.71,5.52,18.95,0.84,13.95,0.16,105.4,33.8,72.86,33.14,182.27,252.41,119.32,0.01,0.0,7.86,6.87,17.88,33.44,1.28,1.05,4.6,1.19,9.79,3.27,2.63,0.02,4.58,12.75,4.99,8.83,49.12,0.35,4.32,5.21,1.73,3.36,5.93,3.45,27.33,24.78,10.66,1.35,8.04,30.71,1.22,0.77,1.14,0.54,1.32,4.69,1.07,8.83,11.8,0.0,0.0,0.0
sb,19.91,13.63,0.11,0.0,114.96,0.0,3.42,6.63,79.93,1.77,0.0,25.34,23.59,78.0,17.52,12.44,5.6,0.0,8.37,3.23,38.49,16.94,0.22,61.85,81.66,115.6,54.66,281.43,1.89,18.08,8.78,4.33,2.8,20.8,0.67,10.98,0.0,101.61,27.38,69.26,37.61,104.75,114.44,239.91,0.0,0.02,7.28,13.0,19.87,58.25,3.88,0.95,0.28,6.65,67.27,4.56,3.36,0.56,5.34,18.54,9.02,11.32,32.7,0.22,6.31,9.28,2.71,3.14,15.22,3.1,46.07,19.38,29.51,0.95,8.22,31.04,0.6,1.74,0.9,0.54,10.81,15.87,0.56,2.88,8.74,0.04,0.0,0.0
sj,42.87,3.27,1.33,0.0,0.0,0.04,9.73,0.0,41.46,1.61,0.0,18.85,49.09,0.97,7.79,2.22,8.72,0.0,7.75,0.0,24.34,9.65,67.74,37.79,20.35,3.51,3.96,2.7,2.22,72.79,6.82,3.51,0.2,0.0,0.73,6.22,0.0,89.06,45.86,58.01,38.64,80.38,99.35,97.62,0.0,0.0,5.85,5.77,6.94,24.51,0.52,1.29,0.0,1.05,8.4,0.97,0.69,0.0,1.86,9.85,4.72,7.15,13.85,0.08,1.94,3.07,4.8,3.67,4.36,0.44,19.26,12.47,12.15,0.04,4.32,21.48,0.0,0.0,0.85,0.48,0.28,4.24,0.04,4.12,4.97,0.0,0.0,0.0
sm,44.33,5.83,1.79,0.0,0.0,0.0,2.63,0.0,140.51,12.82,0.0,4.6,47.68,23.87,9.92,1.15,3.94,0.0,0.79,0.13,39.42,10.59,0.97,63.44,0.2,96.56,11.33,59.5,0.15,78.15,9.59,1.87,1.3,11.08,0.26,17.93,0.15,137.9,29.95,46.17,63.82,95.77,116.95,72.8,0.03,0.0,11.08,4.48,8.03,32.18,1.2,0.9,0.26,0.33,6.68,2.15,1.15,0.03,3.96,6.6,4.09,5.14,17.93,0.38,1.46,2.94,2.17,1.92,1.0,1.87,14.15,7.65,11.54,0.2,3.48,13.48,0.69,0.41,1.51,0.28,5.45,7.19,0.2,2.15,3.94,0.0,0.0,0.0
sv,9.56,20.92,0.54,0.0,0.0,0.44,7.91,0.0,72.97,7.42,0.0,8.06,12.55,15.06,52.29,10.81,2.83,0.52,1.33,0.0,10.18,11.69,0.01,11.56,0.67,2.22,1.58,5.26,0.47,15.05,4.43,0.97,4.99,11.05,0.04,8.15,0.0,78.06,23.95,34.91,33.13,73.77,113.65,119.51,0.01,0.0,3.99,2.22,20.93,47.23,2.11,0.44,0.71,1.19,3.97,0.72,1.18,0.0,2.36,3.85,4.62,3.24,10.59,3.44,2.7,4.78,3.01,1.52,3.93,1.1,11.89,4.11,6.35,0.0,5.32,18.94,0.04,0.12,0.66,0.26,3.95,2.19,0.0,1.42,10.08,0.0,0.0,0.0
tl,87.32,9.08,8.51,0.0,0.0,0.0,9.12,0.37,53.19,3.27,0.0,1.64,62.24,0.04,2.05,0.25,1.64,0.57,0.45,0.0,4.58,11.33,33.27,47.71,9.33,0.0,1.72,0.0,31.79,9.29,0.98,5.03,8.31,17.84,0.25,23.36,0.0,63.18,12.64,29.87,22.91,60.76,154.38,46.03,18.99,0.0,10.72,4.34,35.27,36.79,0.37,0.33,0.16,0.9,5.07,0.57,2.82,0.0,1.47,5.16,4.38,3.27,14.89,4.34,0.9,3.03,3.36,1.88,1.35,2.74,7.57,18.13,5.32,0.0,6.63,19.03,0.33,0.53,0.08,0.12,2.41,4.75,0.0,2.37,15.18,0.0,0.0,0.0
tm,50.09,3.39,0.55,0.04,0.0,0.0,8.66,0.86,99.11,2.77,0.0,25.09,28.84,32.98,21.86,8.03,4.06,0.0,28.13,3.89,72.95,19.98,2.15,45.86,134.39,60.97,25.79,280.59,12.74,24.37,12.98,10.76,12.23,15.0,0.34,17.59,0.09,109.55,36.14,86.3,41.54,125.7,358.25,139.6,0.04,3.39,27.83,10.75,19.28,60.73,8.9,0.78,0.39,35.36,117.55,22.71,1.68,0.01,6.58,24.74,11.65,15.6,42.43,4.67,8.82,10.4,4.6,5.46,29.16,2.54,33.32,28.41,33.75,0.17,10.3,49.37,1.94,1.21,1.64,0.39,5.64,8.89,0.0,2.5,19.85,0.0,0.0,0.0
