SIRUTA,01,02,03,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,41,42,43,45,46,47,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,94,95,96,97,98,99
1017,0.35,0.04,0.0,0.0,0.0,0.0,0.29,0.0,0.58,0.04,0.0,0.08,0.86,2.54,0.17,0.31,0.52,0.0,0.05,0.0,0.35,5.7,1.4,0.28,0.01,0.0,0.88,0.0,0.0,0.23,0.41,0.49,0.04,2.28,0.0,0.18,0.0,0.48,0.32,0.67,0.46,0.31,0.33,0.57,0.0,0.0,0.07,0.18,0.6,0.53,0.37,0.5,0.07,0.06,0.14,0.3,0.04,0.0,0.25,0.25,0.54,0.45,0.83,0.07,0.22,0.7,0.34,0.71,0.06,0.35,0.12,0.59,0.17,0.0,0.58,0.69,0.37,0.22,0.67,0.85,0.33,0.6,0.0,0.29,0.44,0.0,0.0,0.0
1071,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.06,0.11,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.14,0.0,0.0,0.1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.07,0.06,0.02,0.14,0.0,0.0,0.0,0.11,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.04,0.01,0.01,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
1151,0.0,0.21,0.0,0.0,0.0,30.14,0.2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.01,0.02,0.04,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0
1213,0.09,0.42,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.23,0.0,0.0,0.28,1.11,0.06,0.04,0.01,0.0,0.13,0.0,0.0,0.56,0.08,0.07,0.0,0.07,0.1,0.0,0.0,0.15,0.27,0.44,0.0,0.0,0.0,0.24,0.0,0.1,0.07,0.1,0.03,0.05,0.09,0.12,0.0,0.0,0.01,0.0,0.03,0.22,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.02,0.01,0.03,0.0,0.02,0.12,0.02,0.09,0.0,0.03,0.03,0.03,0.11,0.0,0.05,0.02,0.0,0.0,0.03,0.11,0.0,0.07,0.0,0.15,0.03,0.0,0.0,0.0
1348,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.0,0.0,0.05,0.0,0.27,0.0,0.03,0.0,0.05,0.0,0.01,0.04,0.0,0.03,0.24,0.4,7.73,0.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.17,0.1,0.06,0.03,0.05,0.03,0.0,0.0,0.01,0.0,0.04,0.06,0.0,0.19,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.01,0.01,0.02,0.04,0.0,0.04,0.08,0.54,0.0,0.0,0.01,0.0,0.03,0.15,0.0,0.07,0.04,0.0,0.0,0.0,0.05,0.0,0.04,0.0,0.01,0.02,0.0,0.0,0.0
1455,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.0,0.0,0.02,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.0,0.0,0.04,0.03,0.04,0.04,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.07,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.01,0.0,0.0,0.0
1696,0.0,0.18,0.0,0.0,0.0,0.0,0.01,0.0,1.21,0.01,0.0,0.0,0.02,0.0,0.1,0.11,0.01,0.0,0.0,0.0,0.35,0.1,0.0,2.31,0.0,0.01,0.21,0.72,0.02,0.12,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.04,0.02,0.07,0.03,0.0,0.0,0.0,0.11,0.04,0.07,0.02,0.0,0.02,0.01,0.0,0.02,0.0,0.0,0.12,0.03,0.0,0.02,0.04,0.0,0.01,0.01,0.02,0.01,0.0,0.01,0.0,0.01,0.08,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.07,0.03,0.0,0.0,0.0
1794,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.02,0.0,0.0,0.0,0.14,0.0,0.05,0.04,0.02,0.03,0.01,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.02,0.07,0.02,0.0,0.0,0.05,0.05,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0
1874,0.05,0.26,0.32,0.0,0.0,0.0,0.59,0.0,0.42,0.0,0.0,0.16,0.52,2.63,1.46,3.92,0.14,0.0,0.05,0.0,0.1,1.53,0.13,0.4,0.0,0.0,3.83,0.01,0.0,0.79,0.41,0.02,0.0,0.0,2.02,0.24,0.0,0.13,0.08,0.23,0.33,0.08,0.16,0.5,0.0,0.0,0.01,0.08,0.06,0.1,0.01,0.08,0.07,0.01,0.01,0.01,0.0,0.03,0.11,0.1,0.14,0.05,0.17,0.0,0.04,0.13,0.06,0.15,0.03,0.17,0.0,0.07,0.13,0.0,0.11,0.13,0.0,0.38,0.0,0.0,0.0,0.09,0.0,0.02,0.05,0.0,0.0,0.0
