SIRUTA,F1,F2,F3,F4,F5
11398,-0.05,-0.11,-0.04,0.02,-0.08
11423,-0.06,-0.15,-0.03,-0.01,0.05
11478,-0.08,-0.22,0.05,0.09,-0.09
11502,-0.06,-0.16,-0.04,-0.06,0.04
11539,-0.04,-0.02,0.04,-0.17,0.14
11584,-0.24,0.13,-0.2,-0.95,-0.9
11637,-0.07,-0.19,-0.04,0.02,-0.04
11664,-0.06,-0.2,0.0,0.03,-0.02
11735,-0.02,-0.18,-0.26,-0.17,-0.07
11762,-0.06,-0.16,-0.04,-0.01,0.03
11842,0.05,0.09,-0.31,-0.45,0.56
11940,0.0,0.03,-0.38,-0.59,0.35
11995,-0.06,-0.1,0.02,0.2,0.05
12037,-0.05,-0.12,-0.04,-0.22,-0.05
12055,-0.07,-0.17,-0.01,-0.02,-0.07
12091,0.05,0.62,0.3,0.23,0.17
12126,-0.01,-0.1,-0.32,-0.31,0.24
12144,0.0,0.56,-0.49,0.58,0.2
12206,-0.07,-0.15,0.06,0.03,-0.08
12224,-0.05,-0.13,-0.09,-0.11,0.11
12242,-0.12,-0.11,0.0,0.28,0.11
12288,-0.05,-0.16,0.03,0.16,-0.0
12340,-0.07,-0.18,-0.09,-0.08,-0.13
12368,-0.03,0.1,-0.05,-0.01,0.42
12402,-0.06,-0.15,-0.04,-0.02,0.03
12457,-0.05,-0.17,0.05,-0.09,-0.0
12509,-0.03,-0.06,-0.03,-0.01,0.26
12572,-0.03,-0.12,-0.03,-0.11,0.18
12643,-0.07,-0.15,0.09,0.14,0.11
12689,-0.04,-0.1,-0.05,-0.11,0.17
12778,-0.04,-0.14,0.06,-0.14,-0.03
12812,-0.05,-0.15,-0.03,-0.01,0.04
12849,-0.05,-0.16,-0.02,-0.02,0.03
12876,-0.03,-0.37,-0.23,0.11,-0.22
12912,-0.05,-0.08,-0.0,-0.09,0.27
12920,-0.02,-0.0,-0.04,0.08,0.52
12938,-0.03,-0.05,-0.12,-0.22,0.14
13169,2.32,8.08,-1.24,-2.21,-3.79
13187,0.28,2.14,0.81,-1.14,-2.26
13276,-0.06,-0.71,-0.71,-2.48,-3.32
13301,0.02,1.76,-1.21,-0.32,0.08
13365,-0.11,1.17,0.67,0.0,-0.34
13392,0.16,1.37,-0.37,-0.01,1.67
13490,0.14,1.32,-0.68,-1.57,-1.66
13524,-0.05,-0.19,0.1,0.22,-0.25
13622,0.27,1.19,-1.4,-0.38,1.0
